entryid,cityid,stationid,timeid,weathercondition,temperature,humidity,windspeed,visibility,airpressure,dataqualityindicator,remarks,pollutionmetricid,meteorologicalmetricid
25,3,14,90,Rainy,34.1,62.43,5.8,34.93,934.71,Very Poor,"Material short billion hundred college.
Town certainly rest detail. Explain throw career social time game chair. Evidence religious actually security. Word gun parent activity two enjoy find account.",5,9
26,6,10,86,Clear,-7.38,17.42,3.59,0.52,955.85,Poor,"True data cup bit child coach. Shake ready their nearly range let.
Western customer skin line. Door study surface.",5,8
27,4,9,5,Snowy,-8.17,97.81,11.08,10.03,1044.67,Good,Near investment bill us natural exist. Quality others red through. Coach pass real process bring three true.,1,6
28,1,13,63,Cloudy,-6.19,53.64,11.34,19.94,940.01,Moderate,Information today science end. Maybe allow owner begin rock common support. Everyone management sister same themselves movement but camera.,2,10
29,4,17,30,Rainy,3.2,25.28,16.26,15.35,1016.16,Moderate,Expect site if meeting between teach. Line mission travel read. Paper set seem.,5,6
30,10,10,19,Cloudy,36.36,57.26,19.76,16.54,982.26,Good,"Something look need produce hope peace. Bag research several structure key left organization.
Current good name true. Human pattern work leave happy discover save. Evidence Mr listen their kid.",2,9
31,7,16,26,Cloudy,36.07,69.5,19.67,36.37,921.93,Poor,Them plant serious future quite left institution. Process role beat. Feel final town somebody.,5,7
32,6,20,46,Rainy,-2.54,65.89,15.45,21.49,1075.8,Poor,"Though argue degree meet party finish player. Job walk kind keep finally right wife.
Real rather stuff. Black oil Democrat production special will. Term offer protect force teacher.",4,8
33,1,8,34,Cloudy,14.99,46.76,13.48,45.9,900.53,Moderate,Us whom research painting current you reveal. Reflect military town official. Possible level team state what part thing.,4,10
34,3,19,69,Foggy,8.63,86.7,18.66,48.08,910.85,Good,"Everyone professor interest lawyer scene entire. Provide office view discuss lose street. Since guess imagine follow computer.
Approach early attack training. Each establish to establish argue.",3,9
35,5,16,60,Foggy,31.49,42.64,13.94,18.87,925.95,Good,"Late field notice military sense. Act event and goal officer economic chance really.
Identify strong than design development create grow. Hard choice race exist series increase turn. That often more.",1,9
36,5,12,28,Cloudy,-8.13,22.93,5.44,34.09,910.22,Very Poor,"Person two far night sell international send.
Guess system fish organization never. Line possible share I cost. Begin no for window ever.
Machine political peace not any. Establish see series.",4,8
37,2,19,56,Rainy,-5.07,20.23,11.21,3.18,1091.31,Hazardous,"Manager finally structure ago window. House account less water yeah commercial. Fund ball participant early analysis.
Suddenly himself ahead charge set wear. Defense view safe college next draw.",5,10
38,10,19,91,Foggy,10.03,9.67,6.57,13.44,1058.32,Very Poor,Charge me prove. Seek campaign determine eight type upon. South everything American Republican once detail.,5,8
39,9,7,51,Clear,24.97,54.14,2.26,4.75,1094.56,Good,Whether notice out a environment. Interesting church final computer about. New decision organization possible improve mission tend.,1,8
40,2,17,85,Snowy,31.29,77.78,4.53,0.46,1067.6,Very Poor,"Stock ever magazine.
Safe represent drug rate tree senior region. International follow year provide.
Last record somebody wrong. Military why statement individual through.",3,9
41,3,18,60,Cloudy,25.58,18.07,10.46,40.3,935.31,Moderate,Trouble employee miss under give American reach no. Game true level environmental stop. Career enjoy country everybody.,3,7
42,7,3,2,Snowy,6.99,62.26,4.45,32.15,1050.24,Moderate,"Science sea produce red part.
Spring career and there turn paper place part. Whether everything to course. Above onto election kitchen.",5,9
43,5,12,87,Snowy,33.91,51.56,1.87,22.9,1020.13,Hazardous,"Discover military send perhaps investment million. Best work wife policy chance seem whether.
Billion enter station positive western.",5,6
44,5,3,86,Snowy,3.07,37.49,9.91,21.51,936.38,Good,"Boy dream eat glass. True charge account coach management. Budget president own less.
Cause us account admit long set young. Brother future throw growth final.",1,6
45,3,3,54,Clear,3.59,9.73,19.68,12.5,1084.17,Poor,For live consider ten ahead third. Dog thought particular piece same. Baby worker production several state.,5,8
46,8,5,36,Foggy,-5.7,0.04,11.9,2.26,1064.57,Hazardous,"Strong picture sister effect agency court. Information to area foreign part large baby.
Throughout machine gas represent class. Surface someone as leader cell camera issue.",1,7
47,3,2,31,Cloudy,22.11,73.74,14.39,12.6,1062.12,Poor,"Necessary subject staff three difference high kind let. Country from keep.
Police education wear research discussion. One whole article behavior will serious.",3,9
48,2,16,78,Snowy,8.51,92.75,16.46,29.48,1010.83,Good,"Third author so with. Development agency art if education writer scientist.
Lay artist friend live down whole. Mother thousand new forget capital water long.",4,6
49,8,16,14,Cloudy,20.39,67.74,14.59,8.28,1018.58,Poor,"Environment safe American attention. General table stock.
Week read short. Most air hair defense. Interesting hospital discussion government family company.",4,6
50,1,7,99,Snowy,36.13,11.13,11.46,13.94,1086.27,Poor,Firm because resource together big recently. Pull safe director wear sister soldier event response. Including through sort return summer. Face response spring still east another prepare.,5,6
51,7,10,29,Foggy,19.96,53.32,11.89,42.41,1030.52,Poor,Who level TV financial war network skin. Wall pattern population town find of. Effect grow science store science financial economic president.,4,10
52,9,14,25,Clear,22.96,57.64,17.98,3.18,964.43,Moderate,"Thus pressure control much lawyer push. Ask cup although both their PM guess top.
Heavy risk field. West of ten where person nearly end.",5,7
53,8,20,24,Rainy,7.92,59.74,10.54,23.19,1003.09,Good,"Only teach every condition majority beat approach. Explain future head view necessary strong power.
Manage draw ok federal investment. Hold with billion building. Thing statement stop watch me.",4,6
54,1,3,42,Cloudy,17.79,18.25,15.41,30.56,1066.76,Hazardous,Hear operation many food environment tree last. Black radio fill available remain. Focus push sign special campaign.,3,9
55,4,1,94,Snowy,-5.45,84.1,6.02,32.51,1092.51,Good,Source reality great themselves. Look white financial real wish analysis manage rate. Character community film standard top.,2,9
56,10,9,36,Rainy,13.35,0.08,17.2,2.55,1087.98,Good,Itself peace place indeed painting seek. Book throw national PM million better. Star body other pass size he mind.,4,10
57,1,18,5,Rainy,19.01,67.36,11.18,46.22,1083.4,Poor,A happy however. Factor cut west newspaper wife him old. Happy action protect community law set day.,1,9
58,1,15,47,Snowy,16.1,94.3,0.54,28.9,1089.77,Poor,"Especially human far great daughter beat possible tonight. Goal enjoy time.
All drive place say particularly campaign. No sense family past ground as. Build knowledge them.",3,10
59,7,17,25,Cloudy,21.17,92.61,14.99,47.78,1096.82,Very Poor,Old of door piece relationship. Coach argue fact. Speak give pretty region raise shoulder hot. Summer manager enjoy wind suggest safe base.,2,7
60,7,13,59,Cloudy,14.25,16.71,7.84,48.19,1096.58,Poor,"Same share company senior prevent car common. Shake edge face modern election. To east major amount.
But his treatment form.",4,9
61,6,13,63,Cloudy,30.96,23.0,3.37,17.82,1026.49,Hazardous,"Spring general media good window top himself wide. Throw create morning personal. Garden deal rate simply reduce.
Author music its picture lay have. Across college five study.",3,8
62,7,8,19,Snowy,25.24,92.88,17.36,1.98,1057.44,Good,"Thousand alone discussion many exactly red. Dream information once morning manage break.
Benefit debate tonight would. World season social they sing.",2,9
63,7,8,36,Cloudy,-9.48,4.43,1.5,32.14,1045.27,Good,"Care defense special officer begin similar. Federal industry exist Congress.
Loss region onto early education. Teach guy threat early.",1,8
348,5,14,100,Cloudy,34.55,34.46,18.59,27.68,1041.41,Good,Red clearly certain vote. Author three figure process remember water many.,3,7
64,10,4,61,Clear,-2.04,44.05,7.89,3.6,981.4,Poor,"When kind particular one. Low management second result our film agency. Join simple write different add.
None bed strategy area live avoid. Skin song low chance expect individual act.",1,6
65,8,18,89,Rainy,6.18,59.11,8.02,36.39,901.74,Moderate,Through fly event present anyone upon. Agree vote able number most artist. Movement support voice agreement.,4,8
66,7,1,13,Cloudy,19.2,95.38,9.42,8.34,918.07,Hazardous,"Smile those career Democrat feeling speech your. Court city question go data. Writer according kid hope among.
Firm street meet argue box use.",2,7
67,7,18,92,Cloudy,-8.27,69.16,8.93,21.15,949.12,Hazardous,Sign parent government item. Plant everyone easy door company notice. Price list born seven guess modern. Contain develop for image since.,2,7
68,2,6,71,Snowy,23.96,69.33,7.1,21.72,1087.67,Poor,Child unit subject task method between prove heart. Adult test create news peace. Series career indeed require.,4,6
69,9,10,59,Foggy,21.62,28.16,0.37,22.23,992.36,Moderate,"Sell recently note quickly break attack hour. Wife various so today meet. Industry ten save environmental money answer. Site mention sport attention.
Drive past green star movie once.",5,10
70,5,6,42,Rainy,38.33,27.61,8.54,23.19,941.97,Very Poor,"List generation someone investment. Use ball door firm risk.
Start whatever Republican interesting camera not. Own watch wide trouble. Sea involve star pick cultural.",5,8
71,1,12,93,Foggy,33.04,56.99,10.53,42.27,916.22,Very Poor,"Worker break practice remember research south station.
Late early town shoulder woman account protect. Close by allow capital capital run.",1,9
72,1,8,40,Snowy,15.56,32.67,8.64,32.05,1083.8,Very Poor,"Music reveal drop.
There world really thought pass remain. Property recently artist able then run stage fish.",2,8
73,4,14,90,Clear,9.58,34.58,15.79,2.16,1067.87,Very Poor,Wait town marriage act how town. Store clear loss. Up least tough cup. Still business technology charge politics difference its person.,4,6
74,7,20,16,Foggy,5.95,54.49,14.63,15.35,1036.95,Poor,Majority land could off social skill modern. Image daughter film might stage maybe once student. Traditional media agreement himself as ago development.,4,9
75,9,18,89,Snowy,12.13,15.86,15.05,21.95,999.25,Good,"Culture either resource west drop be. Finish guy leave movie.
When computer hope fast safe cup them. Type mind reduce operation him.",2,10
76,1,16,6,Foggy,24.59,70.08,7.81,32.72,955.14,Good,Serious message society inside return list big. Success toward star hour. Site commercial never medical building writer picture. Weight I position tend wall reflect put.,1,8
77,5,11,78,Clear,18.75,66.69,17.0,23.36,1011.78,Hazardous,"Old item middle the play why do. Last east carry writer dog international.
True bill reduce art story receive. Popular take both nor personal early exist. System ahead sister across laugh.",4,7
78,4,6,99,Cloudy,7.23,35.02,15.02,34.1,959.0,Moderate,Report moment student amount. Price already son I student. Employee future hit along.,4,6
79,3,5,67,Snowy,34.53,93.07,19.42,13.71,955.54,Hazardous,"Decision success around cell. Seven thing guy first record during. Need special research Congress notice prevent until hospital.
Democrat involve miss able. Ok election term foot that as.",2,10
80,4,11,87,Snowy,33.26,16.11,2.25,19.56,1019.21,Hazardous,"Watch walk sound agent fly two hot. Peace whom owner.
Hit campaign social according. Election scientist citizen hotel.",4,9
81,3,20,81,Clear,7.76,25.51,3.36,33.43,1085.2,Poor,"Drug entire social evidence civil mean boy. Often certainly research believe.
Dinner long type sister method today financial. Chance discussion board arrive. Community safe world firm media child.",1,7
82,2,15,5,Cloudy,-4.86,99.68,4.1,43.09,924.42,Good,"How cold standard this dinner movie. Lose significant move million.
Model nice market same public. Sure half very. Cold movie five fill hand stage.",2,10
83,8,10,90,Snowy,26.66,93.46,3.02,49.27,1035.67,Hazardous,Pull friend happy later little. Crime suggest far there term billion north.,4,9
84,2,1,57,Foggy,36.79,24.56,17.47,4.28,1054.35,Good,Company affect usually ever. Note six news at. Similar create born day fear suddenly father live. Side ask what feel near plant dream.,3,6
85,9,13,73,Clear,6.09,13.49,3.48,29.28,919.61,Poor,"Hospital Congress over anyone wrong goal. Democrat detail military together scene down.
Key with test sell decade conference. Stay price maintain.",5,7
86,9,5,37,Cloudy,6.12,24.77,10.24,26.63,1043.01,Poor,"Mouth game baby seven lose appear. Already listen course case voice. Sign outside they remain clearly.
Candidate provide gas how. Less enter fill send.",2,8
87,2,17,93,Foggy,0.46,81.58,7.59,25.65,988.05,Good,Long share beyond. Either front under law economy. Both culture people activity.,1,7
88,2,12,35,Rainy,36.02,69.72,18.24,29.35,1057.11,Moderate,"Music information woman sort. Money simply there food arm country.
Per heart else parent officer. Way own protect third. Contain couple structure country half personal music.",4,6
89,10,11,74,Rainy,10.73,88.88,12.51,45.78,932.95,Very Poor,Catch image who computer today. Structure tell address his. Chair plant coach have control assume. Born energy weight far today low expect.,4,10
90,4,12,100,Cloudy,12.79,70.14,11.04,30.62,946.91,Hazardous,"Environmental economic dark cold guess police. Produce foreign development property look mother inside.
A measure myself office skill.
Worker development them lay. Gun none everybody.",1,7
91,4,20,20,Cloudy,8.49,61.82,4.8,40.1,1091.84,Very Poor,Idea ok that environmental tough. Apply research fight offer process born anything. Go television thought. Happen letter subject suggest investment benefit conference fact.,5,6
92,4,18,7,Cloudy,3.64,58.78,5.35,23.37,950.88,Very Poor,Perform recent traditional choice goal inside community first. Leader machine exist top sign.,2,9
93,2,5,8,Foggy,26.31,5.35,1.79,31.96,1089.53,Moderate,"Inside treat available population place impact politics. Mouth southern before skin role herself former. Decision season so.
Fear beyond nation skill gun become.",2,6
94,1,5,47,Foggy,30.81,6.98,14.94,46.69,994.35,Hazardous,"Each imagine task happen fill now any born. Ask soldier school put sister. Age turn black.
Next expect fund instead cell continue. Different administration field control very fund.",5,8
95,1,17,89,Clear,-2.69,13.4,14.89,34.14,1030.71,Good,Executive enter deep hope bill top. Allow along these boy option structure no action. Example police near executive defense long medical.,4,6
96,4,6,47,Clear,24.71,64.25,2.06,16.93,958.92,Very Poor,"Where answer vote treatment draw environmental nearly. Answer none toward.
Walk a concern threat number speak. Particular drive miss often hundred water. Relate exactly leader threat for.",3,8
97,2,5,17,Cloudy,23.49,96.69,7.67,17.07,948.79,Very Poor,"None sort thus theory response. Speech hard religious everybody.
Tree less parent opportunity. Investment feel we necessary learn. Nice win administration good.",5,8
98,3,15,22,Cloudy,36.12,92.35,2.13,1.78,1023.11,Very Poor,Step land blood reality receive. Support time special push concern. Weight movement professor feel role.,2,6
99,8,17,78,Rainy,8.05,88.85,3.73,22.6,946.27,Good,Admit plant could memory argue member four.,3,10
100,4,12,42,Clear,7.14,46.64,18.89,0.67,904.79,Poor,"Claim south many help these he. Commercial throw large partner ago order. So before really line.
Personal half direction short present main far. Not let doctor well their.",3,8
101,7,7,91,Cloudy,1.67,16.93,16.53,49.2,930.67,Very Poor,"Skill learn teach network bring morning find as. Bank machine politics writer.
Manage financial suffer. Recent boy as have fund actually but. Run let why provide soldier mean.",1,7
102,1,14,96,Cloudy,1.34,63.14,5.7,5.53,944.07,Hazardous,"Task realize lay institution. Green security exist capital walk. Work imagine reduce return course more.
Four despite show task. Any newspaper ten large fast situation.",5,10
103,9,10,53,Clear,-5.26,4.51,10.9,9.97,931.33,Very Poor,Become reveal bag resource. Thus method test sport American range responsibility. Take against least technology kind.,4,8
104,1,11,14,Snowy,11.58,72.18,3.48,4.94,982.69,Very Poor,Nature arm growth successful response. Heart address yet head. Writer talk accept beyond southern call white.,3,10
105,9,13,20,Snowy,33.34,79.89,2.02,3.7,1086.18,Poor,"Common character different become page. Reflect court true among.
Onto speak majority direction read sure. Road success world figure deal subject cause. Able enjoy federal drop arrive.",5,10
106,8,11,75,Clear,8.83,49.07,2.53,23.68,942.26,Hazardous,"Instead manager around know but. Either memory live there stop capital sister.
Assume exactly final thank could. Do drug company account.
Card employee paper language call go. Plant as citizen until.",4,8
107,1,8,63,Cloudy,17.12,32.78,0.09,1.63,1088.73,Poor,"Service or field explain out court. Her step local yourself.
Hard deep specific. Single purpose still son matter. To poor military indicate last.",4,8
108,3,6,28,Foggy,-8.03,36.94,7.29,8.75,1062.86,Moderate,"Position local group agreement join. Business still these main thus education others. Own method computer.
Parent its bill. Campaign avoid after notice attention recent yard away.",2,9
109,8,7,32,Snowy,39.92,67.77,5.48,22.31,924.85,Very Poor,"Remain himself thought high.
Kitchen coach listen kitchen. Run film cover benefit his point catch for.
If market song strategy eat father. Me total yes son best others.",1,9
110,8,13,10,Clear,34.63,29.2,10.73,6.24,1049.04,Hazardous,"Stuff lay benefit system environment husband. Field ok body very case beautiful one exist.
Have discussion structure film entire step training.",2,7
111,8,13,75,Cloudy,21.51,2.2,7.4,38.53,1041.3,Very Poor,Interview can soldier condition matter control value box. Church decade purpose purpose minute. Then national her local glass book. Often draw wrong energy off up computer.,3,10
112,1,12,10,Rainy,-6.12,30.33,11.96,35.03,934.81,Very Poor,West able third lawyer property avoid employee. Article one term blood hard process money. Continue son visit pull data character.,2,10
113,2,10,13,Snowy,34.39,58.63,0.64,33.75,1071.31,Moderate,Source leave consider low already white customer always. Full fire pay stay listen result both. Skill without next.,2,7
114,9,8,29,Rainy,13.85,92.33,13.52,34.78,1069.73,Very Poor,"Indicate how with. Rather according himself main instead save. Range save coach upon officer billion.
Yes build simply scene. Research want stay national imagine ask occur. Save upon boy.",5,9
115,3,1,97,Rainy,17.51,58.56,1.55,11.4,1018.1,Good,"Again bill already body head food. Product finish treat federal.
Old skin its ten voice way. Product majority investment. Civil understand field service enjoy political.",5,10
116,5,19,99,Clear,5.99,4.2,17.52,33.84,1070.09,Very Poor,Forward quality oil author fight. Myself shake sell instead travel record develop the. Never listen behind second sure capital.,5,6
117,7,7,1,Rainy,18.98,5.27,15.99,16.76,970.16,Hazardous,History offer pretty east property. Little position decision force but couple.,3,7
118,2,2,97,Rainy,20.92,46.09,10.03,4.23,992.22,Poor,Past describe old mind create today book success. Draw yard why yard read movement there can. Child program environment each.,1,9
119,4,18,68,Rainy,-1.29,73.58,4.16,14.54,1092.43,Good,Short question since day either. As market Mr blue foot. Marriage do almost.,4,8
120,4,18,32,Snowy,2.32,99.05,4.04,25.98,1058.8,Very Poor,"Answer east move life imagine bit. Skin responsibility force news sign Mr treatment.
Stuff real tax probably note. Sort model speak court finish how.",3,10
121,3,10,26,Snowy,23.78,97.33,13.6,40.74,1054.74,Hazardous,Fight increase could past half need why perform. Result Republican and skill way clear direction make.,2,10
122,1,3,60,Cloudy,-0.3,63.25,16.54,33.8,1040.79,Poor,"Past family party simple. Option specific explain fly. Drop whose cover find reach car.
Among always billion similar according.",2,7
123,9,1,60,Rainy,-1.21,4.29,2.53,19.29,971.89,Hazardous,Ahead class product goal degree leave. Itself box nature model certain. Focus imagine movement other operation new arm adult.,5,7
124,6,8,79,Rainy,32.67,34.48,15.95,49.32,1012.94,Poor,"Author reality hotel wife ahead. Feeling owner guess perhaps.
Age though really will.
College hit beat.",3,8
125,3,4,62,Cloudy,0.2,7.02,15.7,39.58,1010.89,Very Poor,That office none weight. Building direction clearly several tree against live. Realize activity reach station. Food choose cause what compare part.,3,9
126,8,8,49,Clear,23.34,72.93,13.58,3.95,1057.38,Good,"Nothing save environment door. Glass sister drive enough forward red feeling.
Herself turn material with hope ready. Develop know appear clearly suddenly so. Court several green develop nice.",5,10
127,1,9,17,Snowy,5.03,33.2,6.65,31.85,1053.61,Poor,"See same without easy most model anything. Bill debate option economy candidate pattern heart. Issue level sit wrong. Room by take.
Cell represent public base accept. Account perhaps despite example.",3,10
128,9,4,43,Foggy,38.8,93.25,18.74,49.34,959.48,Poor,Me add firm offer threat sister worker. Night sea receive candidate worker. Her up work. Unit onto well big author detail.,5,9
129,3,10,66,Clear,32.61,30.41,0.29,22.1,904.18,Good,"According affect walk Mr night process property. Which wind color more among visit explain.
First happy entire big Democrat.",4,10
130,5,1,41,Foggy,35.71,53.96,10.56,19.83,947.82,Good,"It eye catch dinner generation drug. Along remember popular enjoy. Medical table son room home add.
Wish use ahead media maybe opportunity sort. Current rock perform American situation.",2,10
131,8,17,30,Clear,30.79,79.88,12.18,16.83,903.93,Good,Upon feeling against how employee TV certain most. Yard forget large happy town have education. Speech though relationship at politics also upon. Station pick with finally machine wall.,3,9
132,9,15,29,Clear,29.53,19.32,19.06,38.38,926.45,Poor,Name also model large safe reality simply. Kitchen husband sure tough. Order teach million young.,4,6
133,5,3,14,Foggy,-7.2,1.0,6.56,45.94,984.64,Hazardous,Grow matter page try develop option blue dark. Defense eye black blue high trouble indeed I. A others head civil although television.,5,10
134,5,14,40,Foggy,-4.79,70.95,18.49,0.5,938.35,Moderate,"Official one study evidence single know. Direction character wish stand.
Scene together be process body discussion. Finally carry season.",1,8
135,1,11,35,Rainy,34.48,67.21,17.69,0.32,921.21,Moderate,"Thought discuss develop you media. Woman forward everybody other themselves able movie. Stage citizen close writer cup personal.
Water fine six thought federal. Religious us result another.",4,6
136,5,12,63,Rainy,-3.84,56.14,2.45,21.23,1025.76,Good,"Feeling fast party other bed. Letter nice raise real current whole.
Week city camera who wait thank. Its director with election visit worker life.",4,6
137,7,1,88,Foggy,28.89,21.53,2.84,38.47,903.24,Hazardous,Space something size page. Tell claim table price field artist size area. Thank million quite blue particularly pay create evidence.,5,6
138,8,8,99,Foggy,-4.37,48.26,16.67,43.57,1025.03,Poor,"Computer real work sister become. Area look break together herself customer major treatment. Bag four for realize any off artist.
Free school cost Mrs company my.",4,8
139,6,2,4,Snowy,39.09,87.24,1.64,10.43,1041.8,Good,"Season agree rich building car.
Suggest factor teacher series history organization. Each decide soon.",1,8
140,4,13,87,Foggy,21.12,30.7,7.62,25.15,980.88,Poor,"Brother race this blue industry forward hit future. City oil hold their. Tv age activity.
Hit catch recognize relationship director. Power newspaper political operation book.",4,6
141,9,14,31,Snowy,35.52,69.07,16.71,28.34,925.55,Very Poor,"Book box market. Down buy car international billion worry staff. Teacher six authority power forget physical.
Board note picture stand. Expect forget similar road organization political moment fire.",1,9
142,3,5,86,Cloudy,-6.67,84.62,1.61,29.22,1026.69,Very Poor,Perhaps measure cost dinner time. Might modern know security. Movement current dream type area.,3,9
143,5,1,65,Rainy,31.71,40.15,18.87,26.81,956.68,Very Poor,"Consumer ahead gas live. Police arrive rest stay.
Receive face accept their. Dinner economic make computer. Once something organization personal popular foot.",3,9
144,2,17,41,Cloudy,-0.3,20.02,4.16,21.09,969.77,Very Poor,Statement increase take. Street political activity in eat shoulder mission. Station third shake certainly seek model event machine.,5,7
145,5,12,20,Foggy,17.91,10.19,4.77,15.13,1071.96,Poor,Clearly away boy should owner generation accept. Try one level raise soldier win under material.,2,9
146,6,16,20,Snowy,7.89,99.79,6.45,10.92,911.09,Good,"Imagine not nor again. Star so task common. Option girl admit series rich coach building.
Dream financial finish history mission strong they. Agency company direction suddenly single rich better.",4,7
147,9,15,46,Foggy,34.41,99.77,13.53,35.09,1095.85,Hazardous,Position candidate have find hospital current type. Court mission maybe throughout set more word. Before ok set watch hour role.,3,9
148,6,10,81,Rainy,16.37,36.7,18.71,34.13,973.05,Hazardous,Actually action clearly. Another certain kid great beat agreement. Whose light receive star your election.,4,9
149,10,11,61,Snowy,37.41,54.22,16.51,38.75,1091.22,Very Poor,"Rather fire simply successful half kind. Husband theory job. Nearly large century finish arm reduce act prevent.
Democratic election discussion marriage law serve.",1,7
150,1,5,44,Clear,25.03,84.37,10.66,8.53,1034.67,Poor,"Hair voice read character.
Career about spring meet let race order. Talk society miss education home capital. Agree another evening president discuss amount any eight.",3,10
151,3,10,80,Clear,38.55,48.21,15.87,25.92,991.08,Moderate,"Event after political wife war need serious wear. Thus range medical suggest body. Teach smile reality one positive week western.
Another town individual. Else far nothing toward.",5,10
152,7,7,70,Foggy,-2.83,99.16,15.59,4.45,1077.11,Poor,"Since scene form. After often understand fine country. Activity simple class word forward season child.
Husband pay experience. Base quickly last ahead course no person. Board hot card soon.",1,6
153,1,13,50,Cloudy,24.75,2.77,6.54,25.06,1088.35,Poor,Positive morning onto energy much. Realize from same company hope. Test send party agreement cause may opportunity.,2,8
154,1,2,29,Foggy,6.28,44.53,4.17,33.4,1047.69,Good,"Rule up benefit agency. Check pull what strategy mouth song claim.
Without difference young add.",3,8
155,8,6,44,Rainy,-6.63,4.65,18.01,31.13,1068.63,Good,"Strong plan professor prevent. Employee likely size area under receive.
Market how ok level case executive turn teacher. Score send girl identify make.",2,6
156,6,1,25,Clear,19.91,68.01,4.86,23.48,1014.6,Poor,Almost recently whether dog. Strategy front simple few chance. We body person institution house else foreign.,3,10
